marker,value,unit,collected_at,source
Calcium,9.6,mg/dL,2026-05-01,Synthetic Superpower-style panel
Phosphorus,3.1,mg/dL,2026-05-01,Synthetic Superpower-style panel
Total protein,6.9,g/dL,2026-05-01,Synthetic Superpower-style panel
Globulin,2.5,g/dL,2026-05-01,Synthetic Superpower-style panel
Cystatin C,1.08,mg/L,2026-05-01,Synthetic Superpower-style panel
Urine albumin/creatinine ratio,24,mg/g,2026-05-01,Synthetic Superpower-style panel
Creatine kinase,245,U/L,2026-05-01,Synthetic Superpower-style panel
LDH,238,U/L,2026-05-01,Synthetic Superpower-style panel
Red blood cells,4.8,10^12/L,2026-05-01,Synthetic Superpower-style panel
MCH,30,pg,2026-05-01,Synthetic Superpower-style panel
MCHC,34,g/dL,2026-05-01,Synthetic Superpower-style panel
MPV,10.7,fL,2026-05-01,Synthetic Superpower-style panel
Monocytes,0.7,10^9/L,2026-05-01,Synthetic Superpower-style panel
Eosinophils,0.42,10^9/L,2026-05-01,Synthetic Superpower-style panel
Basophils,0.08,10^9/L,2026-05-01,Synthetic Superpower-style panel
Reticulocyte count,1.9,%,2026-05-01,Synthetic Superpower-style panel
